player,season,eng,goals,eng_pct
Alex Ovechkin,2021-22,9,50,18.0
Mikko Rantanen,2024-25,9,55,16.4
Nathan MacKinnon,2025-26,8,51,15.7
Pavel Bure,1999-00,9,58,15.5
Keith Tkachuk,1996-97,8,52,15.4
Alex Ovechkin,2025-26,7,50,14.0
Steven Stamkos,2025-26,6,50,12.0
Keith Tkachuk,1995-96,6,50,12.0
Jaromir Jagr,2000-01,6,52,11.5
Wayne Gretzky,1988-89,6,54,11.1
Alex Ovechkin,2009-10,5,50,10.0
Alex Ovechkin,2008-09,5,56,8.9
Marcel Dionne,1978-79,5,59,8.5
Mario Lemieux,1988-89,7,85,8.2
Wayne Gretzky,1986-87,5,62,8.1
Mike Bossy,1981-82,5,64,7.8
Bernie Nicholls,1988-89,5,70,7.1
Wayne Gretzky,1983-84,6,87,6.9
