Team,fifty_goal_seasons,team_name
EDM,22,Edmonton Oilers
PIT,16,Pittsburgh Penguins
WSH,15,Washington Capitals
LAK,14,Los Angeles Kings
MTL,13,Montreal Canadiens
PHI,12,Philadelphia Flyers
BOS,12,Boston Bruins
NYI,12,New York Islanders
DET,11,Detroit Red Wings
CGY,9,Calgary Flames
BUF,8,Buffalo Sabres
STL,8,St. Louis Blues
CHI,8,Chicago Blackhawks
TOR,6,Toronto Maple Leafs
COL,6,Colorado Avalanche
QUE,5,Quebec Nordiques
VAN,4,Vancouver Canucks
ANA,4,Anaheim Ducks
TBL,4,Tampa Bay Lightning
NYR,4,New York Rangers
ATL,3,Atlanta Flames
WIN,3,Winnipeg Jets (original)
MNS,3,Minnesota North Stars
FLA,3,Florida Panthers
HFD,2,Hartford Whalers
OTT,2,Ottawa Senators
DAL,1,Dallas Stars
PHX,1,Phoenix Coyotes
SJS,1,San Jose Sharks
